,GENEABREV,ENTRY,ENTRY NAME,PROTEIN,GENE,ORGANISM,STATUS,GO - BIOLOGICAL PROCESS,MOLECULAR FUNCION,BIOLOGICAL PROCESS,LIGARD
345,CD2,A5D7L5,S39AE_BOVIN,Metal cation symporter ZIP14,SLC39A14,Bos taurus (Bovine),Reviewed,cadmium ion transmembrane transport. cellular response to glucose stimulus. cellular response to insulin stimulus. cellular zinc ion homeostasis. chondrocyte differentiation. gluconeogenesis. import across plasma membrane. insulin receptor signaling pathway. iron import into cell. iron ion transmembrane transport. manganese ion homeostasis. manganese ion transmembrane transport. negative regulation of cyclic-nucleotide phosphodiesterase activity. positive regulation of G protein-coupled receptor signaling pathway. regulation of hormone levels. zinc ion import across plasma membrane. zinc ion transmembrane transport,na,Ion transport. Transport. Zinc transport,Zinc
346,IGSF3,F1MJ00,F1MJ00_BOVIN,Immunoglobulin superfamily member 3,IGSF3,Bos taurus (Bovine),Unreviewed,lacrimal gland development,na,na,na
347,CD58,F6PZJ9,F6PZJ9_BOVIN,CD58 molecule,CD58,Bos taurus (Bovine),Unreviewed,na,na,na,na
348,ATP1A1,Q08DA1,AT1A1_BOVIN,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,Bos taurus (Bovine),Reviewed,cellular potassium ion homeostasis. cellular sodium ion homeostasis. potassium ion import across plasma membrane. proton transmembrane transport. regulation of sodium ion transport. sodium ion export across plasma membrane,Translocase,Ion transport. Potassium transport. Sodium transport. Sodium/potassium transport. Transport,ATP-binding. Magnesium. Metal-binding. Nucleotide-binding. Potassium. Sodium
349,MAB21L3,A0A4W2I3U2,A0A4W2I3U2_BOBOX,Mab-21 domain-containing protein,MAB21L3,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,na,na,na,na
350,SLC22A15,A0A4W2GFR0,A0A4W2GFR0_BOBOX,MFS domain-containing protein,SLC22A15,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,na,na,na,na
351,NHLH2,E1BCX5,E1BCX5_BOVIN,Nescient helix-loop-helix 2,NHLH2,Bos taurus (Bovine),Unreviewed,apoptotic process. cell migration in hindbrain. hypothalamus gonadotrophin-releasing hormone neuron development. male gonad development. male mating behavior. ovulation cycle. peripheral nervous system development. regulation of transcription by RNA polymerase II,DNA-binding,Transcription. Transcription regulation,na
352,CASQ2,Q3MHM1,Q3MHM1_BOVIN,Calsequestrin,CASQ2,Bos taurus (Bovine),Unreviewed,cardiac muscle contraction. cellular response to caffeine. negative regulation of ryanodine-sensitive calcium-release channel activity. protein polymerization. regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion. regulation of cell communication by electrical coupling. regulation of heart rate. regulation of release of sequestered calcium ion into cytosol. sequestering of calcium ion,Muscle protein,na,Calcium
353,VANGL1,E1BNR7,E1BNR7_BOVIN,Vang-like protein,VANGL1,Bos taurus (Bovine),Unreviewed,multicellular organism development. pigmentation,na,na,na
354,NGF,P13600,NGF_BOVIN,Beta-nerve growth factor,NGF,Bos taurus (Bovine),Reviewed,memory. modulation of chemical synaptic transmission. negative regulation of neuron apoptotic process. nerve development. nerve growth factor signaling pathway. neuron projection morphogenesis. peripheral nervous system development. positive regulation of collateral sprouting. positive regulation of peptidyl-serine phosphorylation. regulation of neuron differentiation. transmembrane receptor protein tyrosine kinase signaling pathway,Growth factor. Metalloenzyme inhibitor. Metalloprotease inhibitor. Protease inhibitor,na,Lipid-binding
355,TSPAN2,A0A3Q1MJJ9,A0A3Q1MJJ9_BOVIN,Tetraspanin,TSPAN2,Bos taurus (Bovine),Unreviewed,astrocyte development. axon development. inflammatory response. microglia development. myelination. oligodendrocyte differentiation,na,na,na
356,TSHB,P01223,TSHB_BOVIN,Thyrotropin subunit beta,TSHB,Bos taurus (Bovine),Reviewed,G protein-coupled receptor signaling pathway. hormone-mediated signaling pathway,Hormone,na,na
357,SYCP1,A0A3Q1MIB7,A0A3Q1MIB7_BOVIN,Synaptonemal complex protein 1,SYCP1,Bos taurus (Bovine),Unreviewed,chiasma assembly. lateral element assembly. meiotic DNA repair synthesis. protein homotetramerization. regulation of protein localization. sperm chromatin condensation,na,na,na
358,SIKE1,Q0VCF3,SIKE1_BOVIN,Suppressor of IKBKE 1,SIKE1,Bos taurus (Bovine),Reviewed,na,na,na,na
359,CSDE1,P61286,PABP1_BOVIN,Polyadenylate-binding protein 1,PABPC1,Bos taurus (Bovine),Reviewed,"gene silencing by RNA. mRNA processing. negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay. nuclear-transcribed mRNA catabolic process, nonsense-mediated decay. positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay. positive regulation of nuclear-transcribed mRNA poly(A) tail shortening. RNA splicing",RNA-binding,mRNA processing. mRNA splicing. Nonsense-mediated mRNA decay,na
360,NRAS,A6N9I4,GRP2_BOVIN,RAS guanyl-releasing protein 2,RASGRP2,Bos taurus (Bovine),Reviewed,small GTPase mediated signal transduction,Guanine-nucleotide releasing factor,na,Calcium. Metal-binding. Zinc
361,SNX7,A0A4W2EPR4,A0A4W2EPR4_BOBOX,PX domain-containing protein,SNX7,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,protein transport,na,Protein transport. Transport,na
362,MIR137,na,na,na,na,na,na,na,na,na,na
363,DPYD,Q28007,DPYD_BOVIN,Dihydropyrimidine dehydrogenase [NADP(+)],DPYD,Bos taurus (Bovine),Reviewed,beta-alanine biosynthetic process. thymidine catabolic process. uracil catabolic process,Oxidoreductase,na,4Fe-4S. FAD. Flavoprotein. FMN. Iron. Iron-sulfur. Metal-binding. NADP. Nucleotide-binding
364,PTBP2,Q28141,DHX9_BOVIN,ATP-dependent RNA helicase A,DHX9,Bos taurus (Bovine),Reviewed,"alternative mRNA splicing, via spliceosome. cellular response to exogenous dsRNA. cellular response to tumor necrosis factor. CRD-mediated mRNA stabilization. DNA duplex unwinding. DNA replication. DNA-templated transcription, termination. DNA-templated viral transcription. G-quadruplex DNA unwinding. inflammatory response. innate immune response. mRNA transport. positive regulation of cytoplasmic translation. positive regulation of DNA repair. positive regulation of DNA replication. positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity. positive regulation of fibroblast proliferation. positive regulation of gene silencing by miRNA. positive regulation of interferon-alpha production. positive regulation of interferon-beta production. positive regulation of interleukin-6 production. positive regulation of NF-kappaB transcription factor activity. positive regulation of polysome binding. positive regulation of response to cytokine stimulus. positive regulation of RNA export from nucleus. positive regulation of transcription by RNA polymerase II. positive regulation of tumor necrosis factor production. positive regulation of viral transcription. positive regulation of viral translation. protein localization to cytoplasmic stress granule. regulation of cytoplasmic translation. regulation of mRNA processing. rhythmic process. RNA secondary structure unwinding. small RNA loading onto RISC. targeting of mRNA for destruction involved in RNA interference",Activator. DNA-binding. Helicase. Hydrolase. RNA-binding,Biological rhythms. DNA replication. Immunity. Inflammatory response. Innate immunity. mRNA processing. mRNA splicing. mRNA transport. RNA-mediated gene silencing. Transcription. Transcription regulation. Transcription termination. Translation regulation. Transport,ATP-binding. Manganese. Metal-binding. Nucleotide-binding
365,F3,P30931,TF_BOVIN,Tissue factor,F3,Bos taurus (Bovine),Reviewed,activation of cysteine-type endopeptidase activity involved in apoptotic process. activation of plasma proteins involved in acute inflammatory response. blood coagulation. cytokine-mediated signaling pathway. positive regulation of angiogenesis. positive regulation of endothelial cell proliferation. positive regulation of interleukin-8 production. positive regulation of platelet-derived growth factor receptor signaling pathway. positive regulation of protein kinase B signaling,na,Blood coagulation. Hemostasis,na
366,ABCD3,P02769,ALBU_BOVIN,Albumin,ALB,Bos taurus (Bovine),Reviewed,cellular response to starvation. maintenance of mitochondrion location. negative regulation of apoptotic process,na,na,Calcium. Copper. Lipid-binding. Metal-binding. Zinc
367,ARHGAP29,A7YY57,RHG29_BOVIN,Rho GTPase-activating protein 29,ARHGAP29,Bos taurus (Bovine),Reviewed,activation of GTPase activity. intracellular signal transduction,GTPase activation,na,Metal-binding. Zinc
368,ABCA4,F1MWM0,F1MWM0_BOVIN,ATP binding cassette subfamily A member 4,ABCA4,Bos taurus (Bovine),Unreviewed,lipid transport. phospholipid transfer to membrane. phospholipid translocation. photoreceptor cell maintenance. visual perception,na,na,ATP-binding. Nucleotide-binding
369,GCLM,A5D7E9,NF2L1_BOVIN,Endoplasmic reticulum membrane sensor NFE2L1,NFE2L1,Bos taurus (Bovine),Reviewed,cell redox homeostasis. cellular response to cholesterol. cellular response to oxidative stress. cholesterol homeostasis. cholesterol metabolic process. lipid homeostasis. negative regulation of transcription by RNA polymerase II. negative regulation of transcription from RNA polymerase II promoter in response to stress. positive regulation of transcription from RNA polymerase II promoter in response to stress. regulation of odontoblast differentiation. regulation of transcription by RNA polymerase II,Activator. DNA-binding. Repressor,Cholesterol metabolism. Lipid metabolism. Steroid metabolism. Sterol metabolism. Transcription. Transcription regulation,Lipid-binding
370,DNTTIP2,P49884,ESR1_BOVIN,Estrogen receptor,ESR1,Bos taurus (Bovine),Reviewed,"androgen metabolic process. antral ovarian follicle growth. cellular response to estradiol stimulus. cellular response to estrogen stimulus. epithelial cell development. epithelial cell proliferation involved in mammary gland duct elongation. intracellular estrogen receptor signaling pathway. intracellular steroid hormone receptor signaling pathway. male gonad development. mammary gland alveolus development. mammary gland branching involved in pregnancy. negative regulation of DNA-binding transcription factor activity. negative regulation of I-kappaB kinase/NF-kappaB signaling. negative regulation of production of miRNAs involved in gene silencing by miRNA. negative regulation of transcription by RNA polymerase II. phospholipase C-activating G protein-coupled receptor signaling pathway. positive regulation of cytosolic calcium ion concentration. positive regulation of DNA-binding transcription factor activity. positive regulation of fibroblast proliferation. positive regulation of nitric oxide biosynthetic process. positive regulation of nitric-oxide synthase activity. positive regulation of phospholipase C activity. positive regulation of RNA polymerase II transcription preinitiation complex assembly. positive regulation of transcription, DNA-templated. prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis. prostate epithelial cord elongation. protein localization to chromatin. regulation of apoptotic process. regulation of branching involved in prostate gland morphogenesis. regulation of inflammatory response. regulation of toll-like receptor signaling pathway. regulation of transcription by RNA polymerase II. stem cell differentiation. uterus development. vagina development",Activator. DNA-binding. Receptor,Transcription. Transcription regulation,Lipid-binding. Metal-binding. Steroid-binding. Zinc
371,TRNAR-UCU,na,na,na,na,na,na,na,na,na,na
372,MIR760,na,na,na,na,na,na,na,na,na,na
373,BCAR3,Q58DL5,BCAR3_BOVIN,Breast cancer anti-estrogen resistance protein 3 homolog,BCAR3,Bos taurus (Bovine),Reviewed,endothelin receptor signaling pathway. insulin receptor signaling pathway. positive regulation of DNA replication. positive regulation of epidermal growth factor receptor signaling pathway. positive regulation of GTPase activity. positive regulation of MAPK cascade. positive regulation of peptidyl-serine phosphorylation. small GTPase mediated signal transduction,Guanine-nucleotide releasing factor,na,na
374,FNBP1L,Q2KJ93,CDC42_BOVIN,Cell division control protein 42 homolog,CDC42,Bos taurus (Bovine),Reviewed,"actin filament organization. adherens junction organization. cardiac conduction system development. Cdc42 protein signal transduction. cell junction assembly. cell migration. cell projection assembly. cellular protein localization. cellular response to interferon-gamma. dendritic cell migration. dendritic spine morphogenesis. endocytosis. establishment of epithelial cell apical/basal polarity. filopodium assembly. heart contraction. integrin-mediated signaling pathway. modification of synaptic structure. negative regulation of protein-containing complex assembly. neuron fate determination. neuropilin signaling pathway. nuclear migration. phagocytosis, engulfment. positive regulation of actin cytoskeleton reorganization. positive regulation of cell growth. positive regulation of cytokinesis. positive regulation of epithelial cell proliferation involved in lung morphogenesis. positive regulation of filopodium assembly. positive regulation of lamellipodium assembly. positive regulation of MAPK cascade. positive regulation of phosphatidylinositol 3-kinase activity. positive regulation of pinocytosis. positive regulation of pseudopodium assembly. positive regulation of stress fiber assembly. positive regulation of substrate adhesion-dependent cell spreading. regulation of attachment of spindle microtubules to kinetochore. regulation of filopodium assembly. regulation of mitotic nuclear division. regulation of protein binding. viral RNA genome replication",Hydrolase,Differentiation. Neurogenesis,GTP-binding. Nucleotide-binding
375,DR1,Q28838,ADA2A_BOVIN,Alpha-2A adrenergic receptor,ADRA2A,Bos taurus (Bovine),Reviewed,activation of protein kinase B activity. adenylate cyclase-activating adrenergic receptor signaling pathway. adenylate cyclase-inhibiting adrenergic receptor signaling pathway. cellular response to hormone stimulus. fear response. glucose homeostasis. negative regulation of insulin secretion involved in cellular response to glucose stimulus. negative regulation of lipid catabolic process. phospholipase C-activating adrenergic receptor signaling pathway. platelet activation. positive regulation of cell migration. positive regulation of cytokine production. positive regulation of epidermal growth factor-activated receptor activity. positive regulation of MAP kinase activity. positive regulation of membrane protein ectodomain proteolysis. positive regulation of wound healing. receptor transactivation. regulation of smooth muscle contraction. regulation of synaptic vesicle exocytosis. regulation of vasoconstriction,G-protein coupled receptor. Receptor. Transducer,na,na
376,CCDC18,E1BN16,E1BN16_BOVIN,Coiled-coil domain containing 18,CCDC18,Bos taurus (Bovine),Unreviewed,na,na,na,na
377,TMED5,Q2KJ84,TMED5_BOVIN,Transmembrane emp24 domain-containing protein 5,TMED5,Bos taurus (Bovine),Reviewed,endoplasmic reticulum to Golgi vesicle-mediated transport. Golgi organization. Golgi ribbon formation. intracellular protein transport,na,Protein transport. Transport,na
378,MTF2,A0A3Q1LPJ7,A0A3Q1LPJ7_BOVIN,Metal response element binding transcription factor 2,MTF2,Bos taurus (Bovine),Unreviewed,"cellular response to leukemia inhibitory factor. chromatin organization. negative regulation of histone H3-K27 methylation. negative regulation of transcription by RNA polymerase II. positive regulation of histone H3-K27 methylation. positive regulation of transcription by RNA polymerase II. regulation of transcription, DNA-templated. segment specification. stem cell differentiation. stem cell population maintenance",na,na,Metal-binding. Zinc
379,FAM69A,A4FV51,A4FV51_BOVIN,Divergent protein kinase domain 1A,DIPK1A,Bos taurus (Bovine),Unreviewed,na,na,na,na
380,RPL5,Q58DW5,RL5_BOVIN,60S ribosomal protein L5,RPL5,Bos taurus (Bovine),Reviewed,ribosomal large subunit assembly. translation,Ribonucleoprotein. Ribosomal protein. RNA-binding. rRNA-binding,na,na
381,EVI5,Q7YRC6,AURKB_BOVIN,Aurora kinase B,AURKB,Bos taurus (Bovine),Reviewed,abscission. cellular response to UV. cleavage furrow formation. histone H3-S28 phosphorylation. mitotic cytokinesis checkpoint. mitotic spindle assembly checkpoint. mitotic spindle midzone assembly. negative regulation of B cell apoptotic process. negative regulation of cytokinesis. negative regulation of transcription by RNA polymerase II. positive regulation of cytokinesis. protein localization to kinetochore. protein phosphorylation,Kinase. Serine/threonine-protein kinase. Transferase,Cell cycle. Cell division. Mitosis,ATP-binding. Magnesium. Metal-binding. Nucleotide-binding
382,TRNAC-ACA,na,na,na,na,na,na,na,na,na,na
383,GFI1,Q2NL30,SUV91_BOVIN,Histone-lysine N-methyltransferase SUV39H1,SUV39H1,Bos taurus (Bovine),Reviewed,"cell cycle. cell differentiation. histone H3-K9 dimethylation. histone H3-K9 trimethylation. negative regulation of circadian rhythm. negative regulation of transcription, DNA-templated. rhythmic process. rRNA processing",Chromatin regulator. Methyltransferase. Repressor. Transferase,Biological rhythms. Cell cycle. Differentiation. rRNA processing. Transcription. Transcription regulation,Metal-binding. S-adenosyl-L-methionine. Zinc
384,RPAP2,F6RRD7,RPAP2_BOVIN,Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2,RPAP2,Bos taurus (Bovine),Reviewed,dephosphorylation of RNA polymerase II C-terminal domain. snRNA transcription,Hydrolase. Protein phosphatase,Transcription. Transcription regulation,Metal-binding. Zinc
385,GLMN,P18203,FKB1A_BOVIN,Peptidyl-prolyl cis-trans isomerase FKBP1A,FKBP1A,Bos taurus (Bovine),Reviewed,amyloid fibril formation. chaperone-mediated protein folding. cytokine-mediated signaling pathway. heart morphogenesis. heart trabecula formation. muscle contraction. negative regulation of phosphoprotein phosphatase activity. negative regulation of protein phosphorylation. negative regulation of release of sequestered calcium ion into cytosol. negative regulation of ryanodine-sensitive calcium-release channel activity. positive regulation of I-kappaB kinase/NF-kappaB signaling. positive regulation of protein binding. positive regulation of protein ubiquitination. protein peptidyl-prolyl isomerization. regulation of activin receptor signaling pathway. regulation of amyloid precursor protein catabolic process. regulation of immune response. regulation of protein localization. regulation of ryanodine-sensitive calcium-release channel activity. release of sequestered calcium ion into cytosol. response to caffeine. SMAD protein complex assembly. supramolecular fiber organization. T cell activation. T cell proliferation. ventricular cardiac muscle tissue morphogenesis,Isomerase. Rotamase,na,na
386,C3H1orf146,Q2TA05,SPO16_BOVIN,Protein SPO16 homolog,SPO16,Bos taurus (Bovine),Reviewed,reciprocal meiotic recombination. synaptonemal complex assembly,na,Meiosis,na
387,BTBD8,A0A4W2EP67,A0A4W2EP67_BOBOX,Uncharacterized protein,BTBD8,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,clathrin-dependent synaptic vesicle endocytosis,na,na,na
388,TRNAE-UUC,na,na,na,na,na,na,na,na,na,na
389,ZNF644,A0A3Q1LY01,A0A3Q1LY01_BOVIN,Zinc finger protein 644,ZNF644,Bos taurus (Bovine),Unreviewed,regulation of transcription by RNA polymerase II,na,na,Metal-binding. Zinc
390,MIR2285B-2,na,na,na,na,na,na,na,na,na,na
391,BARHL2,F1N4U7,F1N4U7_BOVIN,BarH like homeobox 2,BARHL2,Bos taurus (Bovine),Unreviewed,cell fate determination. neuron differentiation. neuron migration. positive regulation of translation. regulation of axon extension. regulation of transcription by RNA polymerase II,DNA-binding,na,na
392,TRNAC-GCA,na,na,na,na,na,na,na,na,na,na
393,ZNF326,F1MJM0,ZN326_BOVIN,DBIRD complex subunit ZNF326,ZNF326,Bos taurus (Bovine),Reviewed,"mRNA processing. regulation of DNA-templated transcription, elongation. regulation of RNA splicing. RNA splicing",Activator. DNA-binding,mRNA processing. mRNA splicing. Transcription. Transcription regulation,Metal-binding. Zinc
394,LRRC8D,A5PK13,LRC8C_BOVIN,Volume-regulated anion channel subunit LRRC8C,LRRC8C,Bos taurus (Bovine),Reviewed,anion transmembrane transport. cyclic-GMP-AMP transmembrane import across plasma membrane. fat cell differentiation. protein hexamerization,Ion channel,Ion transport. Transport,na
395,MIR2285K-5,na,na,na,na,na,na,na,na,na,na
396,LRRC8C,A5PK13,LRC8C_BOVIN,Volume-regulated anion channel subunit LRRC8C,LRRC8C,Bos taurus (Bovine),Reviewed,anion transmembrane transport. cyclic-GMP-AMP transmembrane import across plasma membrane. fat cell differentiation. protein hexamerization,Ion channel,Ion transport. Transport,na
397,LRRC8B,A5PK13,LRC8C_BOVIN,Volume-regulated anion channel subunit LRRC8C,LRRC8C,Bos taurus (Bovine),Reviewed,anion transmembrane transport. cyclic-GMP-AMP transmembrane import across plasma membrane. fat cell differentiation. protein hexamerization,Ion channel,Ion transport. Transport,na
398,GBP6,E1B824,E1B824_BOVIN,GB1/RHD3-type G domain-containing protein,GBP6,Bos taurus (Bovine),Unreviewed,cellular response to interferon-gamma. defense response to Gram-positive bacterium. defense response to protozoan,na,na,na
399,GBP5,A6QLE5,NLRP3_BOVIN,"NACHT, LRR and PYD domains-containing protein 3",NLRP3,Bos taurus (Bovine),Reviewed,cellular response to lipopolysaccharide. inflammatory response. innate immune response. negative regulation of acute inflammatory response. negative regulation of interleukin-1 beta production. negative regulation of NF-kappaB transcription factor activity. negative regulation of NIK/NF-kappaB signaling. positive regulation of cysteine-type endopeptidase activity involved in apoptotic process. positive regulation of interleukin-1 beta production. positive regulation of interleukin-4 production. positive regulation of NF-kappaB transcription factor activity. positive regulation of T-helper 2 cell cytokine production. positive regulation of T-helper 2 cell differentiation. positive regulation of transcription by RNA polymerase II. positive regulation of type 2 immune response,Activator,Immunity. Inflammatory response. Innate immunity. Transcription. Transcription regulation,ATP-binding. Nucleotide-binding
400,GBP4,A6QPV3,A6QPV3_BOVIN,GBP4 protein,GBP4,Bos taurus (Bovine),Unreviewed,cellular response to interferon-gamma. defense response to Gram-positive bacterium. defense response to protozoan,na,na,na
401,HS2ST1,O18756,GLCE_BOVIN,D-glucuronyl C5-epimerase,GLCE,Bos taurus (Bovine),Reviewed,heparan sulfate proteoglycan biosynthetic process. heparin biosynthetic process,Isomerase,na,Calcium. Metal-binding
402,SELENOF,A8YXY3,SEP15_BOVIN,Selenoprotein F,SELENOF,Bos taurus (Bovine),Reviewed,na,na,na,na
403,SH3GLB1,Q32LM0,SHLB1_BOVIN,Endophilin-B1,SH3GLB1,Bos taurus (Bovine),Reviewed,apoptotic process,na,Apoptosis,Lipid-binding
404,TRNAC-GCA,na,na,na,na,na,na,na,na,na,na
405,CLCA3,A0A3Q1MDI0,A0A3Q1MDI0_BOVIN,VWFA domain-containing protein,CLCA3,Bos taurus (Bovine),Unreviewed,na,Hydrolase. Metalloprotease. Protease,na,Chloride. Metal-binding. Zinc
406,CLCA4,Q3SYU0,Q3SYU0_BOVIN,Chloride channel accessory 4,CLCA4,Bos taurus (Bovine),Unreviewed,na,Hydrolase. Metalloprotease. Protease,na,Chloride. Metal-binding. Zinc
407,CLCA1,P54281,CLCA1_BOVIN,Calcium-activated chloride channel regulator 1,N/A,Bos taurus (Bovine),Reviewed,calcium ion transport,Hydrolase. Metalloprotease. Protease,Calcium transport. Ion transport. Transport,Calcium. Chloride. Metal-binding. Zinc
408,CLCA2,A0A4W2D1M9,A0A4W2D1M9_BOBOX,VWFA domain-containing protein,CLCA2,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,na,Hydrolase. Metalloprotease. Protease,na,Chloride. Metal-binding. Zinc
409,ODF2L,Q0VBY1,ODF2L_BOVIN,Protein BCAP,ODF2L,Bos taurus (Bovine),Reviewed,cell projection organization. negative regulation of cilium assembly,na,Cilium biogenesis/degradation,na
410,COL24A1,A0A4W2H9D6,A0A4W2H9D6_BOBOX,Fibrillar collagen NC1 domain-containing protein,COL24A1,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,na,na,na,na
411,ZNHIT6,Q2TBU9,RUVB2_BOVIN,RuvB-like 2,RUVBL2,Bos taurus (Bovine),Reviewed,box C/D snoRNP assembly. chromatin remodeling. DNA recombination. DNA repair. histone acetylation. histone H2A acetylation. histone H4 acetylation. regulation of transcription by RNA polymerase II,Activator. Chromatin regulator. Helicase. Hydrolase,DNA damage. DNA recombination. DNA repair. Transcription. Transcription regulation,ATP-binding. Nucleotide-binding
412,CYR61,Q3ZC35,Q3ZC35_BOVIN,Cellular communication network factor 1,CCN1,Bos taurus (Bovine),Unreviewed,signal transduction,na,na,na
413,DDAH1,P56965,DDAH1_BOVIN,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",DDAH1,Bos taurus (Bovine),Reviewed,arginine catabolic process. arginine metabolic process. citrulline metabolic process. negative regulation of cell population proliferation. negative regulation of cellular response to hypoxia. negative regulation of vascular permeability. nitric oxide biosynthetic process. positive regulation of nitric oxide biosynthetic process. protein nitrosylation. regulation of systemic arterial blood pressure,Hydrolase,na,Metal-binding. Zinc
414,BCL10,Q17QJ6,Q17QJ6_BOVIN,B-cell CLL/lymphoma 10,BCL10,Bos taurus (Bovine),Unreviewed,"adaptive immune response. B cell apoptotic process. cell death. cellular defense response. cellular response to lipopolysaccharide. cellular response to mechanical stimulus. I-kappaB kinase/NF-kappaB signaling. immunoglobulin mediated immune response. innate immune response. lipopolysaccharide-mediated signaling pathway. negative regulation of mature B cell apoptotic process. neural tube closure. positive regulation of cysteine-type endopeptidase activity involved in apoptotic process. positive regulation of extrinsic apoptotic signaling pathway. positive regulation of I-kappaB kinase/NF-kappaB signaling. positive regulation of interleukin-8 production. positive regulation of NF-kappaB transcription factor activity. positive regulation of phosphorylation. positive regulation of protein ubiquitination. positive regulation of T cell activation. positive regulation of transcription, DNA-templated. regulation of T cell receptor signaling pathway. response to food. response to fungus. T cell apoptotic process. T cell receptor signaling pathway. toll-like receptor signaling pathway",na,na,na
415,SYDE2,F1MZM7,F1MZM7_BOVIN,Synapse defective Rho GTPase homolog 2,SYDE2,Bos taurus (Bovine),Unreviewed,cell migration. signal transduction,na,na,na
416,WDR63,A0A4W2D1C0,A0A4W2D1C0_BOBOX,Uncharacterized protein,WDR63,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,negative regulation of Arp2/3 complex-mediated actin nucleation. negative regulation of cell migration. positive regulation of osteoblast differentiation,na,na,na
417,TRNAW-CCA,na,na,na,na,na,na,na,na,na,na
418,MCOLN3,E1BDG0,E1BDG0_BOVIN,Mucolipin 3,MCOLN3,Bos taurus (Bovine),Unreviewed,inner ear auditory receptor cell differentiation. locomotory behavior,na,na,na
419,MCOLN2,G3N2S2,G3N2S2_BOVIN,Mucolipin 2,MCOLN2,Bos taurus (Bovine),Unreviewed,macrophage migration. neutrophil migration. positive regulation of chemokine (C-C motif) ligand 5 production. positive regulation of chemokine (C-X-C motif) ligand 2 production. positive regulation of macrophage inflammatory protein 1 alpha production. positive regulation of monocyte chemotactic protein-1 production,na,na,na
420,LPAR3,F1MX11,F1MX11_BOVIN,Lysophosphatidic acid receptor 3,LPAR3,Bos taurus (Bovine),Unreviewed,activation of MAPK activity. adenylate cyclase-activating G protein-coupled receptor signaling pathway. bleb assembly. positive regulation of collateral sprouting. regulation of metabolic process,G-protein coupled receptor. Receptor. Transducer,na,na
421,WLS,P79350,OPRM_BOVIN,Mu-type opioid receptor,OPRM1,Bos taurus (Bovine),Reviewed,adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway. negative regulation of cAMP-mediated signaling. negative regulation of cytosolic calcium ion concentration. negative regulation of nitric oxide biosynthetic process. negative regulation of Wnt protein secretion. opioid receptor signaling pathway. phospholipase C-activating G protein-coupled receptor signaling pathway. positive regulation of ERK1 and ERK2 cascade. positive regulation of neurogenesis. regulation of NMDA receptor activity. sensory perception of pain,G-protein coupled receptor. Receptor. Transducer,na,na
422,TRNAD-GUC,na,na,na,na,na,na,na,na,na,na
423,DIRAS3,Q3ZBQ6,Q3ZBQ6_BOVIN,DIRAS family GTPase 3,DIRAS3,Bos taurus (Bovine),Unreviewed,signal transduction,na,na,GTP-binding. Nucleotide-binding
424,GNG12,Q9UBI6,GBG12_HUMAN,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,GNG12,Homo sapiens (Human),Reviewed,cerebral cortex development. G protein-coupled receptor signaling pathway. response to lipopolysaccharide. signal transduction,Transducer,na,na
425,GADD45A,Q3ZBN6,GA45A_BOVIN,Growth arrest and DNA damage-inducible protein GADD45 alpha,GADD45A,Bos taurus (Bovine),Reviewed,activation of MAPKKK activity. cellular response to ionizing radiation. cellular response to mechanical stimulus. mitotic cell cycle arrest. negative regulation of blood vessel endothelial cell migration. negative regulation of peptidyl-serine phosphorylation of STAT protein. negative regulation of protein serine/threonine kinase activity. negative regulation of transcription by RNA polymerase II. positive regulation of apoptotic process. positive regulation of JNK cascade. positive regulation of p38MAPK cascade. positive regulation of reactive oxygen species metabolic process. regulation of cell cycle. signal transduction in response to DNA damage,na,Cell cycle. DNA damage. Growth arrest,na
426,TRNAW-CCA,na,na,na,na,na,na,na,na,na,na
427,SERBP1,A1L5B7,A1L5B7_BOVIN,SERPINE1 mRNA binding protein 1,SERBP1,Bos taurus (Bovine),Unreviewed,PML body organization,RNA-binding,na,na
428,IL12RB2,Q9BEG2,I12R2_BOVIN,Interleukin-12 receptor subunit beta-2,IL12RB2,Bos taurus (Bovine),Reviewed,na,Receptor,na,na
